,name,cuisine,latitude,longitude,address,rating,review_count,price
90,Coffee Lounge,singaporean,1.308435,103.833928,"22 Scotts Rd, Singapore 228221, Singapore",4.5,4,$$$
91,Happy Crab,singaporean,1.3022323,103.8610412,"13 Pahang St, Singapore 198613, Singapore",4.5,11,$$$
92,National Kitchen By Violet Oon,singaporean,1.290618,103.851938,"""1 St Andrews Rd"", #02-01, Singapore 178957, Singapore",4.5,38,$$$
93,San Laksa Steamboat,singaporean,1.30988,103.85699,"147 Kitchener Road, Singapore 208524, Singapore",4,8,$$$
94,Cin Cin,singaporean,1.275907433,103.8446534,"100 Peck Seah St, #01-02, Singapore 079333, Singapore",4,3,$$$
95,The Peranakan,singaporean,1.307166193,103.8286007,"442 Orchard Rd, #02-01, Orchard Hotel, Claymore Connect, Singapore 238879, Singapore",3,13,$$$
96,Big Street,singaporean,1.30619,103.85597,"104/106 Jalan Besar, Singapore 208828, Singapore",4,3,$$$
97,Folklore,singaporean,1.302405402,103.864042,"700 Beach Rd, Level 2, Singapore 199598, Singapore",3.5,10,$$$
98,Joie By Dozo,singaporean,1.301571555,103.8388208,"181 Orchard Rd, #12-01, Singapore 238896, Singapore",4.5,21,$$$
99,Chin Huat Live Seafood,singaporean,1.322290697,103.7695743,"Blk 105 Clementi St 12, #01-30, Singapore 120105, Singapore",4.5,18,$$$
100,The East Bureau,singaporean,1.290562905,103.8566192,"6 Raffles Boulevard, #03-03, Singapore 039594, Singapore",2,1,$$$
101,Privé CHIJMES,singaporean,1.294728,103.85224,"30 Victoria St, #01-33, Chijmes Courtyard, Singapore 187996, Singapore",3,18,$$$
102,Hot Stones Steak & Seafood,singaporean,1.2899801,103.8455811,"3D River Valley Road, #01-06, Singapore 179023, Singapore",2,4,$$$
103,Durian Stall At Dempsey,singaporean,1.30475,103.8089981,"7 Dempsey Road, Singapore 249671, Singapore",4,6,$$$
104,Hopscotch Bar,singaporean,1.275856,103.8042542,"45 Malan Road, Gillman Barracks, Red Dot Traffic Building, Singapore 109455, Singapore",4.5,7,$$$
105,Shashlik,singaporean,1.30539,103.8302,"545 Orchard Rd, #06-19, Singapore 238882, Singapore",3,13,$$$
199,Renn Thai Restaurant Clarke Quay,thai,1.28965529,103.8457142,"3D River Valley Rd, #01-05, Clarke Quay 179024, Singapore",3.5,7,$$$
200,Nakhon Kitchen,thai,1.275455118,103.7949755,"87 Pasir Panjang Rd, Singapore 118510, Singapore",4,3,$$$
201,Sabai,thai,1.282773825,103.8533491,"70 Collyer Quay, #01-02 Customs House, Singapore 049326, Singapore",3.5,7,$$$
202,Yhingthai Palace,thai,1.29656,103.85496,"36 Purvis St, #01-04, Singapore 188613, Singapore",4,17,$$$
203,Thai Thai,thai,1.29017,103.8519974,"Orchard Road 333A, 03 Mandarin Gallery, Singapore, Singapore",4,1,$$$
204,Jim Thompson,thai,1.30545,103.81555,"45 Minden Road, Singapore 248817, Singapore",4,23,$$$
205,Tawandang Microbrewery,thai,1.30584,103.811348,"26 Dempsey Rd, #01-01, Singapore 249686, Singapore",3.5,18,$$$
206,MooJaa,thai,1.27986,103.8413315,"25 Keong Saik Road, Singapore 089132, Singapore",3.5,3,$$$
264,Antoinette,french,1.30973,103.86219,"30 Penhas Road, Singapore 208188, Singapore",3.5,22,$$$
265,Creperie des Arts,french,1.29995,103.8499298,"44 Prinsep Street, Singapore 188673, Singapore",4,4,$$$
266,Taratata Brasserie,french,1.2801146,103.8414164,"35A Keong Saik Rd, Ground Floor, Singapore 089142, Singapore",4,13,$$$
267,Brasserie Les Saveurs,french,1.305758,103.826029,"29 Tanglin Rd, Singapore 247911, Singapore",3,6,$$$
268,Bistro Du Vin,french,1.292846999,103.831193,"Zion, 56 Zion Road, Singapore 247781, Singapore",4,13,$$$
269,IKYU,french,1.2825899,103.83035,"5 Yong Siak St, Singapore 168643, Singapore",4,20,$$$
270,The Clifford Pier,french,1.2839449,103.8535294,"80 Collyer Quay, Singapore 049326, Singapore",3.5,17,$$$
271,L'Entrecôte,french,1.27842,103.8428192,"36 Duxton Hill, Singapore 089614, Singapore",3.5,24,$$$
272,Bar-Roque Grill,french,1.274961,103.843575,"165 Tanjong Pagar Rd, #01-00, Singapore 088539, Singapore",3.5,8,$$$
273,Les Bouchons,french,1.2813,103.84571,"7 Ann Siang Road, Singapore 069689, Singapore",3,13,$$$
342,Zzapi,italian,1.316404553,103.8355207,"271 Bukit Timah Road, #01-04, Balmoral Plaza, Singapore 259708, Singapore",4,1,$$$
343,Ristorante Pietrasanta,italian,1.298994847,103.7876004,"1 Fusionopolis Way, #01-08, Connexis Tower, Singapore 138632, Singapore",4,16,$$$
344,Dolce Vita,italian,1.29063,103.85844,"5 Raffles Ave, Level 5, Singapore 039797, Singapore",4.5,6,$$$
345,iO Italian Osteria,italian,1.362962442,103.7644064,"4 Hillview Rise Hill V2, # 02-01, Singapore 667979, Singapore",4.5,19,$$$
346,Jamie's Italian,italian,1.30629,103.8286399,"583 Orchard Rd, #01 01-04, Singapore 238884, Singapore",3,26,$$$
347,Da Luca Italian Restaurant,italian,1.3182,103.8426132,"1 Goldhill Plaza, #01-19/21 Goldhill Plaza, Singapore 308899, Singapore",3.5,8,$$$
348,Alfresco Gusto,italian,1.305104,103.832075,"2 Orchard Turn, ION Orchard #01-15, Singapore 238801, Singapore",2.5,3,$$$
349,Caruso,italian,1.330735117,103.7958559,"791 Bukit Timah Rd, Singapore 269764, Singapore",4,3,$$$
350,Bel Mondo,italian,1.2920715,103.859851,"9 Raffles Boulevard, Singapore 039596, Singapore",4,6,$$$
351,La Strada,italian,1.306347554,103.8318952,"1 Scotts Rd, #01-13, Singapore 228208, Singapore",4.5,16,$$$
352,sufood,italian,1.29383,103.8533325,"252 North Bridge Road, Raffles City Shopping Centre, #02-19, Singapore, Singapore",4,6,$$$
353,Pasta Brava,italian,1.277636955,103.8427265,"11 Craig Rd, Tanjong Pagar 089671, Singapore",4,22,$$$
354,Perbacco,italian,1.27803,103.8423462,"20 Craig Rd, #01-03, Singapore 089692, Singapore",4,3,$$$
355,Limoncello Pizza & Grill,italian,1.29093,103.83668,"95 Robertson Quay, #01-19/20, Rivergate, Singapore 238256, Singapore",3,12,$$$
356,Aura,italian,1.2897045,103.8512862,"""1 St Andrews Rd"", #06-02, Singapore 178957, Singapore",3.5,21,$$$
357,Cicheti,italian,1.3017,103.85997,"52 Kandahar St, Singapore 198901, Singapore",4,34,$$$
358,Petes's Place,italian,1.3064382,103.83333,"Grand Hyatt Singapore, 10 Scotts Road, Singapore 228211, Singapore",3.5,13,$$$
359,Pizza Fabbrica,italian,1.301014036,103.8600211,"69/70 Bussorah Street, Singapore 199483, Singapore",4,12,$$$
360,Atmastel,italian,1.294411882,103.855544,"26 Beach Rd, #B1-22, South Beach Avenue, Singapore 189768, Singapore",3.5,4,$$$
361,Zafferano Restaurant,italian,1.282762127,103.8530221,"10 Collyer Quay, #43-01, Ocean Financial Centre, Singapore 049315, Singapore",3,16,$$$
362,La Pizzaiola,italian,1.381617123,103.8297154,"19 Kalidasa Avenue, Singapore 789398, Singapore",4.5,4,$$$
363,Rubato,italian,1.331184718,103.8069923,"12 Greenwood Ave, Singapore 289204, Singapore",4,12,$$$
364,Peperoni Pizzeria,italian,1.3534281,103.8333141,"267 Upper Thomson Rd, Singapore 574394, Singapore",4,1,$$$
365,Bruno's Bistrot,italian,1.31213,103.91116,"201 Telok Kurau Rd, #01-06, Kurau Court, Singapore 423910, Singapore",4,5,$$$
366,Prego,italian,1.293827,103.854009,"80 Bras Basah Rd, Level 1, Singapore 189560, Singapore",3.5,28,$$$
367,Pizzeria L'Operetta,italian,1.275,103.8445206,"Icon Village #01-78-81, 12 Gopeng Street, Singapore 078877, Singapore",3,13,$$$
368,Baci Baci,italian,1.364537028,103.8700351,"27 Lichfield Rd, Singapore 556847, Singapore",4.5,6,$$$
369,Latteria Mozzarella Bar,italian,1.27859,103.8429031,"40 Duxton Hill, Singapore 089618, Singapore",4,31,$$$
370,La Braceria,italian,1.33164,103.8070526,"5 Greendale Ave, Hillcrest, Singapore 289501, Singapore",3.5,8,$$$
371,Cacio e Pepe Cucina Italiano,italian,1.357796164,103.760363,"3 Chu Lin Road, Singapore 669890, Singapore",3.5,3,$$$
372,Senso Ristorante & Bar,italian,1.28251,103.84663,"21 Club St, Singapore 069410, Singapore",4,14,$$$
373,DOP Mozzarella Bar,italian,1.29026,103.83919,"60 Robertson Quay, #01-04A The Quayside, Singapore 238252, Singapore",4,8,$$$
374,La Forketta Gastronomia Italiana,italian,1.3036447,103.8098267,"9 Dempsey Rd, #01-09, Singapore 247697, Singapore",2.5,14,$$$
375,Motorino,italian,1.290286,103.845103,"3A River Valley Rd, #01-01A, Clarke Quay, Singapore 179020, Singapore",3.5,15,$$$
376,Mad For Garlic,italian,1.293590045,103.8566689,"No 3 Temasek Boulevard, #02-300/301, Singapore 038983, Singapore",2.5,12,$$$
377,Truffle Gourmet,italian,1.2821362,103.8459818,"49 Club Street, Singapore 069426, Singapore",3,3,$$$
378,Modesto's,italian,1.30689,103.8277512,"1 Tanglin Rd, #01-09/10, Orchard Parade Hotel, Singapore 247905, Singapore",3,12,$$$
379,Al Forno,italian,1.30871,103.9120178,"400 East Coast Rd, Singapore 428996, Singapore",3.5,17,$$$
380,Palio,italian,1.255427862,103.8198829,"Hotel Michael Sentosa, Level 2, Singapore, Singapore",3.5,2,$$$
381,Burlamacco Ristorante,italian,1.2804805,103.8468004,"77 Amoy Street, Singapore 069896, Singapore",3.5,6,$$$
382,Sopra Cucina & Bar,italian,1.3076066,103.8301208,"10 Claymore Road, #01-02, Pan Pacific Orchard Hotel, Singapore 229540, Singapore",3.5,7,$$$
383,Trattoria Italian Kitchen,italian,1.30106,103.8384705,"313 Orchard Road, 313 Somerset, Singapore 238895, Singapore",3,5,$$$
384,Trattoria L'Operetta,italian,1.30641,103.89559,"244 Tanjong Katong Road, Singapore 437032, Singapore",3.5,9,$$$
385,Pietro Ristorante Italiano,italian,1.38328677,103.8760747,"12 Jalan Kelulut, Singapore 809030, Singapore",3,5,$$$
386,Jamie's Italian,italian,1.263437,103.82129,"1 HarbourFront Walk, #01-165/167, Singapore 098585, Singapore",3,48,$$$
387,Ristorante da Valentino,italian,1.336877,103.793967,"200 Turf Club Road, #01-19, Singapore 287994, Singapore",3.5,19,$$$
388,Etna Italian Restaurant,italian,1.313189048,103.9293685,"110 Upper East Coast Rd, Singapore 455298, Singapore",3.5,6,$$$
389,Sole Pomodoro,italian,1.246765278,103.8419418,"31 Ocean Way, #01-14 Quayside Isle  Sentosa Cove, Bedok 098375, Singapore",2.5,7,$$$
390,Pepenero,italian,1.28036,103.8480835,"14 Stanley Street, Singapore 068733, Singapore",3.5,7,$$$
396,My Little Spanish Place,spanish,1.28717,103.84925,"54 Boat Quay, Singapore 049843, Singapore",4,4,$$$
397,Sabio By The Sea,spanish,1.24777,103.8419724,"31 Ocean Way, #01-02, Southern Islands 098367, Singapore",3.5,10,$$$
398,My Little Tapas Bar,spanish,1.2812521,103.8455394,"14 Ann Siang Road, Singapore 069694, Singapore",4.5,8,$$$
399,My Little Spanish Place,spanish,1.32443,103.8092422,"619 Bukit Timah Road, Singapore 269720, Singapore",4,13,$$$
400,Dehesa,spanish,1.28626,103.8487899,"12 North Canal Rd, Singapore 048825, Singapore",5,3,$$$
401,Binomio,spanish,1.277666492,103.8420918,"Craig Place, 20 Craig Road, #01-02, Singapore 089692, Singapore",4.5,15,$$$
402,Los Primos Taberna Y Tapas,spanish,1.28161,103.8457489,"87 Club Street, Singapore 069449, Singapore",2.5,5,$$$
403,Bam! Tapas-sake Bar,spanish,1.27841,103.8442535,"38 Tras Street, Singapore 078977, Singapore",4,7,$$$
404,Milagro Spanish Restaurant,spanish,1.3009279,103.8399306,"181 Orchard Rd, #08-06, Singapore 238896, Singapore",3.5,7,$$$
405,UNA at One Rochester,spanish,1.305308,103.787689,"1 Rochester Park, Singapore 139212, Singapore",3.5,4,$$$
406,Don Quijote,spanish,1.304618,103.808905,"7 Dempsey Rd, #01-02, Singapore 249671, Singapore",3.5,19,$$$
407,Serenity Spanish Bar & Restaurant,spanish,1.26431,103.8220673,"1 HarbourFront Walk, #01-98/99, VivoCity, Singapore 098585, Singapore",2.5,14,$$$
408,Octapas Spanish Tapas Bar,spanish,1.2898848,103.8454475,"3D River Valley Rd, #01-08, Singapore 179023, Singapore",2,26,$$$
509,Hana Hana,japanese,1.276337245,103.8437165,"1 Tras Link, #01-17, Orchid Hotel, Singapore 078867, Singapore",4,4,$$$
